RAZON SOCIAL,CUIT,SERVICIO,RESOLUCION,FECHA RES,EXPEDIENTE,DOMICILIO,LOCALIDAD,PROVINCIA,C.POSTAL,TELEFONO
15 S.R.L.                                                                                           ,30-70719341-3,SRT,   55SC  2001,26/01/2001,EXPCNC E 5893/2000,CASEROS 1452  ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1152AAX,011-4305-4233
1TOON S.A.,30-71530535-2,SVA,5747- ENACOM/2017,26/12/2017,EXPENACOM 5202/2017,MAIPU 510 - Piso 1° ,CABA,CIUDAD DE BUENOS AIRES,C1006ACF,011-3112-3285
3 DE FIERRO SEGURIDAD S.R.L.,30-71551608-6,L-TIC,1307 ENACOM/2020,03/12/2020,EX- -APN-REYS#ENACOM 10983712/2020,TTE GRAL ROCA 1270  ,SAN MARTIN DE LOS ANDES,NEUQUEN,8370,02944-64-8090
3D WIFI S.R.L.,30-71539450-9,VA-ISP,10433  ENACOM/2016,30/12/2016,EXPENACOM 13905/2016,JUSTO A. SUAREZ 6798 - Piso 6 - Dpto/Of. B,CABA,CIUDAD DE BUENOS AIRES,C1440BHF,011-3937-5511
4FG S.A.S.,30-71572222-0,VA-ISP,1428 ENACOM 2018,29/11/2018,EX- -APN-REYS#ENACOM 43044029/2018,PARAGUAY 1345 - Piso 8° - Dpto/Of. A,CABA,CIUDAD DE BUENOS AIRES,C1057AAU,011-3055-5555
A & B S.R.L.,30-66091882-1,STL,  175SC  2007,28/09/2007,EXPCNC 5410/2004,YERBAL 5439  - Dpto/Of. 4,CABA,CIUDAD DE BUENOS AIRES,C1407EBQ,011-5258-7800
A & B S.R.L.,30-66091882-1,STP,  175SC  2007,28/09/2007,EXPCNC 5410/2004,YERBAL 5439  - Dpto/Of. 4,CABA,CIUDAD DE BUENOS AIRES,C1407EBQ,011-5258-7800
A & B S.R.L.,30-66091882-1,STLDN,  175SC  2007,28/09/2007,EXPCNC 5410/2004,YERBAL 5439  - Dpto/Of. 4,CABA,CIUDAD DE BUENOS AIRES,C1407EBQ,011-5258-7800
A & B S.R.L.,30-66091882-1,STLDI,  175SC  2007,28/09/2007,EXPCNC 5410/2004,YERBAL 5439  - Dpto/Of. 4,CABA,CIUDAD DE BUENOS AIRES,C1407EBQ,011-5258-7800
A & B S.R.L.,30-66091882-1,SVA,  205SC  2005,26/07/2005,EXPCNC 5410/2004,YERBAL 5439  - Dpto/Of. 4,CABA,CIUDAD DE BUENOS AIRES,C1407EBQ,011-5258-7800
A M S.R.L.,30-71596434-8,SRSVF,690 ENACOM/2018,25/10/2018,EX- -APN-SDYME#ENACOM 25519206/2018,LAS ROSAS 144  ,VILLA SANAGASTA,LA RIOJA,5301,011-00-0000
A&A COMUNICACIONES S.R.L.,30-71525934-2,VA-ISP,286  ENACOM/2017,25/08/2017,EXPENACOM 9336/2017,AVENIDA PUJOL 1876 - Piso 6 - Dpto/Of. 1,CORRIENTES,CORRIENTES,W3400BKP,0379-439-6666
A.D.V.S.P.S. S.A.,30-71187363-1,SRSVF,264 AFSCA/15,07/04/2015,EXPAFSCA 1479/2011,MANUEL A SAENZ 2421  ,MENDOZA,MENDOZA,M5540AXO,011-00-0000
A.DOS S.R.L.,30-71007692-4,SVA,9107  ENACOM/2016,14/12/2016,EXPAFTIC 7046/2015,PTE. HIPOLITO YRIGOYEN 426  ,LAS FLORES,BUENOS AIRES,B7200BQJ,02244-45-2887
A.V.C. CONTINENTE AUDIOVISUAL S.A.,30-65046289-7,SRSVR,454 COMFER/1991,,EXPCOMFER 50/1991,GENERAL HORNOS 690  ,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1272,011-4021-7725
"ABACA, RAMON AROLDO",23-23138189-9,L-TIC,3651 ENACOM/2019,04/09/2019,EX- -APN-REYS#ENACOM 19429516/2019,"MANZANA E, CASA 2 (BARRIO REINA MORA) S/N - Piso PB - Dpto/Of. 1",BARRIO OBRERO RAWSON,SAN JUAN,5425,0264-476-4190
"ABALLAY RODRIGUEZ, ROSANA MARCELA",27-22011873-3,VA-ISP,332 ENACOM/2021,14/04/2021,EX- -APN-REYS#ENACOM 6564297/2020,SEGUNDINO NAVARRO (SUR) 958  ,SAN JUAN,CORDOBA,5400,0264-506-1057
"ABALLAY, CRISTIAN ANDRES",20-27052695-1,VA-ISP,117  ENACOM/2018,05/01/2018,EX- -APN-SDYME#ENACOM 25243054/2017,GENERAL ROCA 571  ,CRUZ DEL EJE,CORDOBA,5280,0351-402-7764
"ABALOS, RENE DALMACIO",20-12618458-2,VA-ISP,151  ENACOM/2017,06/01/2017,EXPENACOM 14131/2016,SARMIENTO 128  ,ABRA PAMPA,JUJUY,Y4640CCD,03887-491-0228
"ABALOS, RENE DALMACIO",20-12618458-2,SRSVF,568 COMFER/1994,,EXPCOMFER 1700/1992,SARMIENTO 128  ,ABRA PAMPA,JUJUY,Y4640CCD,03887-491-0228
ABDONI S.R.L.,30-70843896-7,STP,  172SC  2005,06/07/2005,EXPCNC 6357/2003,MEDRANO 833 - Piso 5 - Dpto/Of. C,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1179,011-4865-0839
"ABELEDO, DIANA NATALIA",27-17813329-8,VA-ISP,122  ENACOM/2018,05/01/2018,EXPENACOM 12054/2016,SAN MARTIN CASA 2 S/N°  ,SANTO PIPO,CIUDAD DE BUENOS AIRES,3326,0376-489-0201
"ABELEDO, DIANA NATALIA",27-17813329-8,SRSVF,1131 ENACOM/2019,12/03/2019,EXPAFSCA 1633/2010,SAN MARTIN CASA 2 S/N°  ,SANTO PIPO,CIUDAD DE BUENOS AIRES,3326,0376-489-0201
"ABIB, ANTONIO ANGEL",23-17450677-9,SVA, 1832SC  1998,01/09/1998,EXPCNC E 9245/1998,EJERCITO ARGENTINO 776  ,GOYA,CORRIENTES,3450,03777-43-2051
"ABRAHAM, DOMINGO DANIEL",20-27493698-4,L-TIC,1317 ENACOM/2020,03/12/2020,EX- -APN-REYS#ENACOM 32726447/2020,B° 365 MZ 22 CASA 9 S/N  ,TARTAGAL,SALTA,4560,0387-634-8957
"ABRAHAM, HABIB CAMILO",20-22711954-4,SVA,397  ENACOM/2016,11/03/2016,EXPCNC 5372/2010,JUSTO DR JUAN BAUTISTA 5357  ,CABA,CIUDAD DE BUENOS AIRES,C1416DKH,011-5953-7231
"ACEBAL, OSCAR RICARDO",20-29725355-8,VA-ISP,1766 ENACOM/2021,18/11/2021,EX- -APN-REYS#ENACOM 34080443/2021,AMADO BONPLAND 844  ,PASO DE LOS LIBRES,CORRIENTES,3230,--
ACERTO WIRELESS SOLUTIONS S.A.,30-71038674-5,SVA,6797  ENACOM/2016,23/09/2016,EXPCNC 5593/2015,DEL LIBERTADOR 498 - Piso 12 - Dpto/Of. 120,CABA,CIUDAD DE BUENOS AIRES,C1007ABJ,011-4515-9201
"ACOSTA GOMEZ, CLAUDIO ANTONIO",20-25610191-3,STP,4594  ENACOM/2018,28/06/2018,EXPAFTIC 2488/2015,"BARRIO GRANJA DE FUNES, RENE BRACAMONTE, LOTE 3, MZ 120 6228  ",CORDOBA,CORDOBA,5000,0351-511-7182
"ACOSTA PIASENTINI, JUAN MANUEL",20-30000605-2,L-TIC,1802 ENACOM/2021,19/11/2021,EX- -APN-REYS#ENACOM 59020716/2020,RIVADAVIA 1730 - Piso 8 - Dpto/Of. C,CORRIENTES,CORRIENTES,3400,0379-465-0195
"ACOSTA, MAURICIO ANTONIO",20-27841400-1,VA-ISP,4070  ENACOM/2017,19/05/2017,EXPENACOM 13160/2016,RIVADAVIA 866  ,TRELEW,CHUBUT,9100,0280-458-2074
"ACOSTA, NORA ELISBET",27-14628946-6,SVA,8197  ENACOM/2016,29/11/2016,EXPCNC 9096/2014,"BOLIVAR, ENTRE BELGRANO Y JUJUY S/N  ",TILCARA,JUJUY,4624,0388-999-9999
"ACOSTA, NORA ELISBET",27-14628946-6,SRSVF,357 COMFER/2003,,EXPCOMFER 2073/2000,"BOLIVAR, ENTRE BELGRANO Y JUJUY S/N  ",TILCARA,JUJUY,4624,0388-999-9999
"ADAIME, RAMON EDGARDO",20-10083845-2,SVA,6814  ENACOM/2016,23/09/2016,EXPCNC 15042/2013,SAN MARTIN 285  ,INGENIERO JACOBACCI,RIO NEGRO,8418,011-4427-2974
"ADAIME, RAMON EDGARDO",20-10083845-2,SRSVF,181 COMFER/1993,,EXPCOMFER 1367/1989,SAN MARTIN 285  ,INGENIERO JACOBACCI,RIO NEGRO,8418,011-4427-2974
"ADAMO, CAROLINA LUCIA",27-14478809-0,SRSVF,542 COMFER/1990,06/08/1990,EXPCOMFER 552/1989,LEANDRO N. ALEM 78  ,GENERAL GUEMES,SALTA,4430,0387-491-3497
ADART PRODUCCIONES S.R.L.,30-67992740-6,PROVE,5239  ENACOM/2016,07/07/2016,EXPCNC 5625/2009,SUIPACHA 831 - Piso 1 - Dpto/Of. A,CABA,CIUDAD DE BUENOS AIRES,C1008AAQ,011-9999-9999
"ADARVEZ, ESTEBAN SEBASTIAN",20-34143382-8,L-TIC,1433 ENACOM/2018,29/11/2018,EX- -APN-AMEYS#ENACOM 25730519/2018,TENIENTE CORONEL SASSO 234  ,LA CONSULTA,MENDOZA,5567,02622-41-0014
ADT SECURITY SERVICES S.A.,30-65663161-5,SAVR,  124SC  2009,03/06/2009,EXPCNC 9420/2004,THAMES 139 - Piso 1° ,BOULOGNE,BUENOS AIRES,B1609JUC,011-4708-7900
ADT SECURITY SERVICES S.A.,30-65663161-5,SVA,  124SC  2009,03/06/2009,EXPCNC 9420/2004,THAMES 139 - Piso 1° ,BOULOGNE,BUENOS AIRES,B1609JUC,011-4708-7900
ADVANTUN S.R.L.,30-71232130-6,SVA,7563  ENACOM/2016,07/11/2016,EXPCNC 10635/2013,ITUZAINGO 3367  ,BENAVIDEZ,BUENOS AIRES,1621,011-4172-1292
AEON S.R.L.,30-71562863-1,VA-ISP,4385 ENACOM/2019,11/10/2019,EXPENACOM 13195/2017,BARTOLONI 371  ,VICTORIA,ENTRE RIOS,3153,0341-601-4124
AEROTAX S.R.L.                                                                                      ,30-70724052-7,SRT,  470SC  2001,14/11/2001,EXPCNC E 6963/2000,CASTILLO PEDRO DEL 1486 - Piso PB ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1414AXF,011-4858-0111
AFM ALTA FRECUENCIA MULTIPUNTO S.A.                                                                 ,30-66198002-4,SVA,  935SC  1998,26/03/1998,EXPCNC E 6811/1997,25 DE MAYO 460 - Piso 1 ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1002ABJ,--
AFM ALTA FRECUENCIA MULTIPUNTO S.A.                                                                 ,30-66198002-4,SVC,  935SC  1998,26/03/1998,EXPCNC E 6811/1997,25 DE MAYO 460 - Piso 1 ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1002ABJ,--
AFM ALTA FRECUENCIA MULTIPUNTO S.A.                                                                 ,30-66198002-4,STD,  935SC  1998,26/03/1998,EXPCNC E 6811/1997,25 DE MAYO 460 - Piso 1 ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1002ABJ,--
AFM ALTA FRECUENCIA MULTIPUNTO S.A.                                                                 ,30-66198002-4,STSR,  935SC  1998,26/03/1998,EXPCNC E 6811/1997,25 DE MAYO 460 - Piso 1 ,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1002ABJ,--
AGENCIA CONECTIVIDAD CORDOBA SOCIEDAD DEL ESTADO,30-71715590-0,VA-ISP,2080 ENACOM/2021,21/12/2021,EX- -APN-REYS#ENACOM 54058241/2021,ROSARIO DE SANTA FE 650  ,CORDOBA,CORDOBA,5000,0351-206-4194
"AGENCIA SAN LUIS CIENCIA, TECNOLOGIA Y SOCIEDAD",30-71547080-9,VA-ISP,6851  ENACOM/2017 ,26/07/2017,EXPENACOM 7467/2017,AUTOPISTA SERRANIAS PUNTANAS - TORRE 3 KM783  ,SAN LUIS,SAN LUIS,5700,0266-445-2000
AGINET S.A.,30-70783032-4,STD,   23SC  2003,10/01/2003,EXPCNC 599/2002,ROOSEVELT 4989 - Piso 4 - Dpto/Of. 405,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1431,011-5353-9292
AGINET S.A.,30-70783032-4,STLDI,   23SC  2003,10/01/2003,EXPCNC 599/2002,ROOSEVELT 4989 - Piso 4 - Dpto/Of. 405,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1431,011-5353-9292
AGINET S.A.,30-70783032-4,STLDN,   23SC  2003,10/01/2003,EXPCNC 599/2002,ROOSEVELT 4989 - Piso 4 - Dpto/Of. 405,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1431,011-5353-9292
AGINET S.A.,30-70783032-4,STP,   23SC  2003,10/01/2003,EXPCNC 599/2002,ROOSEVELT 4989 - Piso 4 - Dpto/Of. 405,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1431,011-5353-9292
AGINET S.A.,30-70783032-4,SVA,   23SC  2003,10/01/2003,EXPCNC 599/2002,ROOSEVELT 4989 - Piso 4 - Dpto/Of. 405,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1431,011-5353-9292
AGINET S.A.,30-70783032-4,STL,5229  ENACOM/2016,07/07/2016,EXPCNC 599/2002,ROOSEVELT 4989 - Piso 4 - Dpto/Of. 405,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1431,011-5353-9292
"AGOLTI, ANIBAL RUBEN",20-20086667-4,VA-ISP,333 ENACOM/2021,14/04/2021,EX- -APN-AMEYS#ENACOM 31588009/2018,GRAL. SAN MARTIN 789  ,MOCORETA,CORRIENTES,W3226BTK,03775-40-1025
AGUA & TIERRA MONTE HERMOSO S.A.S.,30-71679879-4,SRSVF,726 ENACOM/2021,08/06/2021,EX- -APN-REYS#ENACOM 64983922/2020,AVDA. TROLON 636  ,PEHUEN CO,BUENOS AIRES,B8070CPU,0291-644-8137
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,STL,   19SC  2010,17/03/2010,EXPCNC 4004/2009,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,STLDN,   19SC  2010,17/03/2010,EXPCNC 4004/2009,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,STLDI,   19SC  2010,17/03/2010,EXPCNC 4004/2009,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,STD,   19SC  2010,17/03/2010,EXPCNC 4004/2009,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,SVA,   19SC  2010,17/03/2010,EXPCNC 4004/2009,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,REVEN,   19SC  2010,17/03/2010,EXPCNC 4004/2009,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,STM,65  ENACOM/2020,21/02/2020,EX- -APN-SDYME#ENACOM 43079063/2019,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,SCMA,65 ENACOM/2020,21/02/2020,EX- -APN-SDYME#ENACOM 43079063/2019,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,SRMC,65 ENACOM/2020,21/02/2020,EX- -APN-SDYME#ENACOM 43079063/2019,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
AGUAS DEL COLORADO S.A.P.E.M.,30-70979601-8,PCS,65 ENACOM/2020,21/02/2020,EX- -APN-SDYME#ENACOM 43079063/2019,AVDA. DR. ALFREDO PALACIOS 890  ,SANTA ROSA,LA PAMPA,L6300CPP,--
"AGUILAR, DANIEL MARCELO",20-18247459-3,VA-ISP,10476  ENACOM/2016,30/12/2016,EXPENACOM 13099/2016,MZ. 3 LOTE 3 S/N°  ,LA ISLA,SALTA,4403,0387-601-4567
"AGUILAR, FABIANA YAMILA",27-35443994-3,VA-ISP,1290 ENACOM/2020,02/12/2020,EX- -APN-REYS#ENACOM 108051368/2019,URQUIZA 383  ,MARIA GRANDE,ENTRE RIOS,3133,0343-464-2568
"AGUILAR, FABIANA YAMILA",27-35443994-3,L-TIC,5472 ENACOM/2019,22/11/2019,EX- -APN-REYS#ENACOM 1955264/2019,URQUIZA 383  ,MARIA GRANDE,ENTRE RIOS,3133,0343-464-2568
"AGUILERA GOMEZ, FEDERICO MIGUEL",20-12220861-4,VA-ISP,5127  ENACOM/2017,16/06/2017,EXPENACOM 5393/2017,JUPITER 154  ,SALTA,SALTA,4400,0387-442-0023
"AGUIRRE, CESAR HUGO",20-29571022-6,VA-ISP,3575 ENACOM/2019,03/09/2019,EX- -APN-SDYME#ENACOM 8855455/2018,MANZANA 229 0  ,MISIONES,MISIONES,3316,011-9999-9999
"AGUIRRE, CESAR HUGO",20-29571022-6,SRSVF,1611 ENACOM/2017,09/03/2017,EXPAFSCA 2956/2013,MANZANA 229 0  ,MISIONES,MISIONES,3316,011-9999-9999
"AGUIRRE, FELIX PRIMITIVO",20-10563520-7,VA-ISP,6928  ENACOM/2017,27/07/2017,EXPENACOM 10314/2016,MARTIN Y  LOS PARAISOS S/N°  ,EL CARRIL,SALTA,4421,0387-598-3462
"AGUIRRE, GABRIELA MARISEL",27-32427151-7,VA-ISP,431 ENACOM/2021,19/04/2021,EX- -APN-REYS#ENACOM 55459222/2020,PASTEUR 250  ,SAN RAFAEL,MENDOZA,5600,0260-441-7867
"AGUIRRE, GRISELDA MARIA",27-21689637-3,SRSVF,5139  ENACOM/2017,16/06/2017,EXPAFSCA 237/2013,25 DE MAYO S/N°  ,SANTA RITA,MISIONES,3363,03755-55-2667
"AGUIRRE, JOSE LUIS",20-29634529-7,SRSVF,1841 ENACOM/2019,26/04/2019,EX- -APN-SDYME#ENACOM 33221292/2018,TUCUMAN 258  ,LA TORDILLA,CORDOBA,2435,--
"AGUIRRE, SERGIO ORLANDO",20-26908889-4,L-TIC,5500 ENACOM/2019,22/11/2019,EX- -APN-REYS#ENACOM 50033920/2019,SARMIENTO (MI C7) S/N  ,LA PUNTILLA,SAN JUAN,5439,0264-566-4596
"AIQUEL, EDUARDO RAUL",20-12169515-5,SRSVF,131 COMFER/1993,,EXPCOMFER 773/1992,SAN MARTIN 1017  ,PRESIDENCIA ROQUE SAENZ PEÑA,CHACO,3700,011-9999-9999
AIREDATA S.R.L.,30-71528085-6,VA-ISP,9266  ENACOM/2016,19/12/2016,EXPENACOM 9246/2016,JUJUY 609  ,MACIEL,SANTA FE,2209,03476-59-2431
AIRES DE HUMAHUACA S.R.L.,30-71620061-9,VA-ISP,936 ENACOM/2021,09/08/2021,EX- -APN-REYS#ENACOM 14366747/2021,WASHINGTON 1789  ,SAN SALVADOR DE JUJUY,JUJUY,Y4600GLA,0388-682-0210
AIRWAN S.R.L.,30-71173303-1,SVA,789 AFTIC2015,26/11/2015,EXPCNC 7205/2012,ALSINA DOCTOR ADOLFO 2648 - Piso 4 - Dpto/Of. H,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,C1090AAR,011-4789-2647
AITUE COMUNICA S.A.,30-71027593-5,SVA,3660 ENACOM/2019,04/09/2019,EX- -APN-SDYME#ENACOM 44982168/2018,AVENIDA CERVIÑO 3244  ,CABA,CIUDAD DE BUENOS AIRES,1425,011-6230-0000
AITUE COMUNICA S.A.,30-71027593-5,REVEN,3660 ENACOM/2019,04/09/2019,EX- -APN-SDYME#ENACOM 44982168/2018,AVENIDA CERVIÑO 3244  ,CABA,CIUDAD DE BUENOS AIRES,1425,011-6230-0000
"AIZPUN, ALBERTO RAUL",20-11133386-7,SRC, 3094SC  1997,16/10/1997,EXPCNC E 3915/1997,RICARDO ROJAS 2155  ,MAR DEL PLATA,BUENOS AIRES,7600,0223-472-4000
